title,total_ratings,install_million,avg_rating,growth_30days,growth_60days,Category,5_star_rating,4_star_rating,3_star_rating,2_star_rating,1_star_rating,price,paid
Garena Free Fire- World Series,86273129,500,4,2.1,6.9,Action,63546766,4949507,3158756,2122183,12495915,0,FALSE
Clash of Clans,55766763,500,4,0.3,1,Strategy,43346128,5404966,2276203,971321,3768141,0,FALSE
PUBG MOBILE ,37276732,500,4,1.8,3.6,Action,28339753,2164478,1253185,809821,4709492,0,FALSE
Subway Surfers,35665901,1000,4,0.5,1,Arcade,27138572,3366600,1622695,814890,2723142,0,FALSE
Candy Crush Saga,31367945,1000,4,0.9,1.6,Casual,23837448,4176798,1534041,486005,1333650,0,FALSE
Clash Royale,30852360,100,4,0.4,0.8,Strategy,21009004,3645468,1655906,777067,3764913,0,FALSE
Mobile Legends: Bang Bang,26663595,100,4,1.5,3.2,Action,18777988,1812094,1050600,713912,4308998,0,FALSE
Roblox,21820451,100,4,2.6,5.7,Adventure,16674013,1916826,822266,423122,1984222,0,FALSE
8 Ball Pool,21632735,500,4,1.2,630.8,Sports,16281475,2268294,1017204,425693,1640067,0,FALSE
Brawl Stars,17971552,100,4,1.4,4.4,Action,13018610,1552950,774012,406184,2219794,0,FALSE
My Talking Tom,16810315,500,4,0.3,0.5,Casual,12234051,1514188,851145,465627,1745303,0,FALSE
Pokemon GO,14541662,100,4,0.5,0.9,Adventure,9517488,1746849,883965,452314,1941044,0,FALSE
Sniper 3D: Fun Free Online FPS Shooting Game,14464235,500,4,0.8,1.5,Action,9827328,2124154,1047741,380670,1084340,0,FALSE
Call of Duty�: Mobile - Season 4: Spurned & Burned,13572148,100,4,2,4,Action,10501443,1274162,517273,268489,1010778,0,FALSE
Dream League Soccer,13385786,100,4,0,0.1,Sports,10086735,1454500,646066,266864,931618,0,FALSE
My Talking Angela,13050503,500,4,0.6,1.4,Casual,9165205,1073761,636763,399662,1775110,0,FALSE
Hay Day,12098786,100,4,0.5,1.2,Casual,9031154,1239752,599727,297910,930241,0,FALSE
Among Us,11936964,100,3,1.8,5.6,Action,5954262,1041297,853099,719378,3368926,0,FALSE
Pou,11506051,500,4,0.2,0.5,Casual,8175679,1051014,688712,346244,1244400,0,FALSE
Gardenscapes,10721875,100,4,0.6,1.5,Casual,7566483,1406080,591119,264105,894086,0,FALSE
Minion Rush: Despicable Me Official Game,10659387,100,4,0,0.1,Casual,7884729,1105063,542317,236861,890414,0,FALSE
Hill Climb Racing,10188038,500,4,0.4,0.8,Racing,7148370,982941,607603,338715,1110407,0,FALSE
Homescapes,10159890,100,4,0.8,2.1,Casual,7089644,1367797,604525,262575,835347,0,FALSE
Temple Run 2,9633929,500,4,0.3,0.8,Action,6579369,991341,614643,349003,1099571,0,FALSE
Farm Heroes Saga,9123920,100,4,0.6,1.2,Casual,7097079,1176491,433227,128489,288631,0,FALSE
Township,8306868,100,4,0.6,1.2,Casual,5666720,959679,483208,261701,935558,0,FALSE
Candy Crush Soda Saga,8071775,100,4,0.4,0.8,Casual,6031478,1145290,420595,132006,342404,0,FALSE
Traffic Rider,7580227,100,4,0.5,1,Racing,5426819,833452,446764,212143,661046,0,FALSE
PUBG MOBILE LITE,7578630,100,4,1,2.5,Action,5382545,500696,351523,238986,1104879,0,FALSE
Ludo King,7512316,500,4,4,6.5,Board,5291589,773193,369290,204053,874188,0,FALSE
Trivia Crack,7334155,100,4,0.4,0.8,Trivia,4938889,1123053,442298,187183,642730,0,FALSE
Hungry Shark Evolution - Offline survival game,7202013,100,4,0.4,0.8,Arcade,5220860,792543,404086,191098,593424,0,FALSE
Plants vs Zombies™ 2 Free,6964142,100,4,0.5,1.1,Casual,5161994,738250,337096,159672,567126,0,FALSE
Geometry Dash Lite,6960814,100,4,421.7,0.9,Arcade,4787054,831967,432708,188672,720411,0,FALSE
